title,authors,doi,abstract,published_date,publisher,url,Abstract
Health Psychology,Regan Gurung,10.1093/obo/9780199828340-0031,"<p>Health psychology is an interdisciplinary subspecialty of psychology dedicated to promoting and maintaining health and preventing and treating illness. Franz Alexander and Helen Flanders Dunbar together established the first formal gathering of individuals interested in studying the influences of the mind on health in the 1920s. This movement within the mainstream medical establishment was coined psychosomatic medicine and grew into the American Psychosomatic Society (APS). The new field of psychosomatic medicine had many supporters, which led to the formation of the first society specifically dedicated to the study of mind and body connections. Another movement within the field of medicine, called behavioral medicine, looks at nonbiological influences on health. The Society of Behavioral Medicine (SBM), a multidisciplinary, nonprofit organization founded in 1978, is dedicated to studying the influences of behavior on health and well-being. Unlike SBM and APS, whose members are overwhelmingly physicians, the American Psychological Association’s Division of Health Psychology (Division 38) is a group specifically for psychologists and came into being in the mid-1970s. Health psychologists pay close attention to the way that thoughts, feelings, behavior, and biological processes all interact with each other to influence health and illness. In many ways health psychology is greater than a subfield within the discipline of psychology, as it is built on theoretical ideas and research findings from many other areas in psychology. For example, many of the ways used to understand why we get stressed and how we cope come from social and personality psychology. The field of health psychology can be divided into three broad natural segments: stress and coping, health behaviors, and issues in health care. The first section of this article introduces General Overviews, Textbooks, and reference works relating to health psychology. Attention is also paid to Journals that publish articles presenting novel methods, as well as controversies. The bibliography’s remaining sections examine different topics in health psychology.</p>",2011-11-29,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0031,"Health psychology is an interdisciplinary subspecialty of psychology dedicated to promoting and maintaining health and preventing and treating illness. Franz Alexander and Helen Flanders Dunbar together established the first formal gathering of individuals interested in studying the influences of the mind on health in the 1920s. This movement within the mainstream medical establishment was coined psychosomatic medicine and grew into the American Psychosomatic Society (APS). The new field of psychosomatic medicine had many supporters, which led to the formation of the first society specifically dedicated to the study of mind and body connections. Another movement within the field of medicine, called behavioral medicine, looks at nonbiological influences on health. The Society of Behavioral Medicine (SBM), a multidisciplinary, nonprofit organization founded in 1978, is dedicated to studying the influences of behavior on health and well-being. Unlike SBM and APS, whose members are overwhelmingly physicians, the American Psychological Association’s Division of Health Psychology (Division 38) is a group specifically for psychologists and came into being in the mid-1970s. Health psychologists pay close attention to the way that thoughts, feelings, behavior, and biological processes all interact with each other to influence health and illness. In many ways health psychology is greater than a subfield within the discipline of psychology, as it is built on theoretical ideas and research findings from many other areas in psychology. For example, many of the ways used to understand why we get stressed and how we cope come from social and personality psychology. The field of health psychology can be divided into three broad natural segments: stress and coping, health behaviors, and issues in health care. The first section of this article introduces General Overviews, Textbooks, and reference works relating to health psychology. Attention is also paid to Journals that publish articles presenting novel methods, as well as controversies. The bibliography’s remaining sections examine different topics in health psychology."
Phenomenological Psychology,Darren Langdridge,10.1093/obo/9780199828340-0210,"<p>Phenomenological psychology refers to an approach to psychology that draws on phenomenological, existential, and hermeneutic philosophy. The focus in all such work is on making sense of the meaning structures of the lived experience of a research participant or psychotherapeutic client. That is, in Husserl’s terms—the founder of phenomenological philosophy—we go “back to the things themselves” as they present themselves to consciousness in order to determine the “essence” (eidos) of the phenomenon. There is not one approach to phenomenological psychology, however, with the perspective better being understood as a family of methods and modes of practice. All psychological research and practice within this tradition will have its roots in the thought of Husserl and key concepts therein but will also likely be informed by other philosophical work, such as that of Heidegger, Merleau-Ponty, and Sartre from the existential tradition, or Gadamer and Ricoeur from the hermeneutic tradition. Phenomenological psychology has its origins in European psychiatry with the work of Karl Jaspers in the early 1900s, along with figures including Ludwig Binswanger, Medard Boss, Viktor Frankl, Eugene Minkowski, and Jan Hendrick van den Berg. The primary aim of these thinkers was (a) the rejection of traditional notions of psychopathology, in favor of Husserl’s descriptive method of analyzing psychological experience; and (b) the application of ideas from existential philosophy to therapeutic practice. A variety of modes of psychotherapeutic practice have evolved from this early work including Daseinsanalysis, logotherapy, British School existential analysis, and existential-humanistic psychotherapy. The Utrecht School in The Netherlands has been identified as the location of the first attempt to apply phenomenological philosophy to psychological research. Influenced by the work of the psychologist Adrian van Kaam and the philosopher Henry Koren, Amedeo Giorgi (beginning in the early 1970s) developed a systematic phenomenological psychology methodology at Duquesne University in the United States. Other important early figures working to develop phenomenological psychology at Duquesne include Rolf von Eckartsberg, Constance F. Fischer, and Paul F. Collaizi, with the latter developing his own phenomenological method, which is more hermeneutic than the Giorgi method. Another relatively early major methodological development came about in Canada in the late 1970s with the work of the pedagogical researcher Max van Manen, who drew directly on the Utrecht School to develop a hermeneutic phenomenological methodology. Recent developments include methodologies that draw more extensively on hermeneutics or forms of critical social theory or both, including feminist theory. Some of these developments have proven controversial, with ongoing debates in the field about the boundaries and methods of phenomenological psychology.</p>",2018-4-26,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0210,"Phenomenological psychology refers to an approach to psychology that draws on phenomenological, existential, and hermeneutic philosophy. The focus in all such work is on making sense of the meaning structures of the lived experience of a research participant or psychotherapeutic client. That is, in Husserl’s terms—the founder of phenomenological philosophy—we go “back to the things themselves” as they present themselves to consciousness in order to determine the “essence” (eidos) of the phenomenon. There is not one approach to phenomenological psychology, however, with the perspective better being understood as a family of methods and modes of practice. All psychological research and practice within this tradition will have its roots in the thought of Husserl and key concepts therein but will also likely be informed by other philosophical work, such as that of Heidegger, Merleau-Ponty, and Sartre from the existential tradition, or Gadamer and Ricoeur from the hermeneutic tradition. Phenomenological psychology has its origins in European psychiatry with the work of Karl Jaspers in the early 1900s, along with figures including Ludwig Binswanger, Medard Boss, Viktor Frankl, Eugene Minkowski, and Jan Hendrick van den Berg. The primary aim of these thinkers was (a) the rejection of traditional notions of psychopathology, in favor of Husserl’s descriptive method of analyzing psychological experience; and (b) the application of ideas from existential philosophy to therapeutic practice. A variety of modes of psychotherapeutic practice have evolved from this early work including Daseinsanalysis, logotherapy, British School existential analysis, and existential-humanistic psychotherapy. The Utrecht School in The Netherlands has been identified as the location of the first attempt to apply phenomenological philosophy to psychological research. Influenced by the work of the psychologist Adrian van Kaam and the philosopher Henry Koren, Amedeo Giorgi (beginning in the early 1970s) developed a systematic phenomenological psychology methodology at Duquesne University in the United States. Other important early figures working to develop phenomenological psychology at Duquesne include Rolf von Eckartsberg, Constance F. Fischer, and Paul F. Collaizi, with the latter developing his own phenomenological method, which is more hermeneutic than the Giorgi method. Another relatively early major methodological development came about in Canada in the late 1970s with the work of the pedagogical researcher Max van Manen, who drew directly on the Utrecht School to develop a hermeneutic phenomenological methodology. Recent developments include methodologies that draw more extensively on hermeneutics or forms of critical social theory or both, including feminist theory. Some of these developments have proven controversial, with ongoing debates in the field about the boundaries and methods of phenomenological psychology."
Computational Psychology,Ron Sun,10.1093/obo/9780199828340-0299,"<p>Computational psychology is concerned with understanding the mind and its various functions and domains through developing detailed, mechanistic, process-based models, namely, computational (in a broad sense) models of representations, mechanisms, and processes. It embodies theories in computer algorithms and programs, which are in turn based on artificial intelligence and computer science. That is, it imputes computational processes onto psychological functions, and thereby it produces runnable computational models. Detailed simulations can then be conducted based on computational models. Empirical disciplines, such as cognitive psychology, social psychology, and developmental psychology, provide empirical data, findings, phenomena, ideas, and other information to computational psychology. Computational psychologists then analyze and abstract them to form coherent theories in computational forms. In turn, these theories impact other disciplines, including those disciplines from which they draw their initial inspirations. Thus, work in computational psychology relies on empirical work from various empirical disciplines, and work in other disciplines in turn is influenced by work from computational psychology. Note that computational models are, mostly, “process theories”—that is, they are meant to answer the question of how human performance and behavior comes about; by what psychological mechanisms, processes, representations, and knowledge; and in what ways exactly. In contrast, it is also possible to formulate “product theories” that provide a functional account of the phenomena but do not commit to a particular psychological mechanism or process. This article emphasizes the former. Note also that, because of the existence of many different or even conflicting viewpoints, paradigms, and theories, this article can only provide a sparse sampling of perspectives and models (especially with regard to various specific psychological or cognitive domains), not exhaustive or complete in any way. The reader should explore further and make up their own mind about various perspective and models.</p>",2022-10-27,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0299,"Computational psychology is concerned with understanding the mind and its various functions and domains through developing detailed, mechanistic, process-based models, namely, computational (in a broad sense) models of representations, mechanisms, and processes. It embodies theories in computer algorithms and programs, which are in turn based on artificial intelligence and computer science. That is, it imputes computational processes onto psychological functions, and thereby it produces runnable computational models. Detailed simulations can then be conducted based on computational models. Empirical disciplines, such as cognitive psychology, social psychology, and developmental psychology, provide empirical data, findings, phenomena, ideas, and other information to computational psychology. Computational psychologists then analyze and abstract them to form coherent theories in computational forms. In turn, these theories impact other disciplines, including those disciplines from which they draw their initial inspirations. Thus, work in computational psychology relies on empirical work from various empirical disciplines, and work in other disciplines in turn is influenced by work from computational psychology. Note that computational models are, mostly, “process theories”—that is, they are meant to answer the question of how human performance and behavior comes about; by what psychological mechanisms, processes, representations, and knowledge; and in what ways exactly. In contrast, it is also possible to formulate “product theories” that provide a functional account of the phenomena but do not commit to a particular psychological mechanism or process. This article emphasizes the former. Note also that, because of the existence of many different or even conflicting viewpoints, paradigms, and theories, this article can only provide a sparse sampling of perspectives and models (especially with regard to various specific psychological or cognitive domains), not exhaustive or complete in any way. The reader should explore further and make up their own mind about various perspective and models."
Counseling Psychology,Elizabeth Nutt Williams,10.1093/obo/9780199828340-0146,"<p>Counseling psychology is a specialty within psychology that focuses on counseling, research, and assessment in which close attention is paid to individual’s assets and psychological strengths. Counseling psychologists have three primary roles: remedial (e.g., working to help correct problems), preventative (e.g., interventions focused on forestalling problems), and developmental (e.g., skills training and psychoeducational approaches). The primary interventions of the specialty tend to be brief and cover a variety of settings (e.g., counseling, training, consultation, outreach). Gelso, et al. 2014, Counseling Psychology (cited under Reference Works), summarizes the enduring central values of counseling psychology, noting it has (1) an emphasis on a person’s strengths and optimal functioning; (2) a focus on the whole person, with particular emphasis on life-span development and vocational growth; (3) a commitment to advocacy and social justice, maintaining an ongoing awareness of the importance of environmental context and culture; (4) a concentration on brief, educational, and preventive counseling interventions; and (5) a dedication to the scientist-practitioner model. While counseling psychology’s abiding interest in vocational guidance began in 1908 with the establishment of a vocations bureau by Frank Parsons, most view the field of counseling psychology as beginning with the role of psychologists (in assessment of military personnel) in the 1940s during World War II. The Division of Counseling and Guidance (Division 17) of the American Psychological Association was formally established in 1946. Division 17 changed its name in 1951 to the Division of Counseling Psychology, and again in 2003 to the Society of Counseling Psychology. The major journals in counseling psychology were founded in 1954 (the Journal of Counseling Psychology, cited under Journals) and 1969 (The Counseling Psychologist, cited under Journals).The field’s history can also be marked by its major conferences. The first conference for counseling psychology was held in 1951 at Northwestern University. It was at this conference that the scientist-practitioner model of training was formally endorsed. The field has held a major conference approximately every dozen years since then (1964, Greyston Conference; 1973, Vail Conference; 1987, Georgia Conference; 2001, Houston Conference). At each conference, the field strengthened its identity and debated issues of importance to the field, such as social justice initiatives and multicultural competencies. In 1999, Division 17 was one of the founding divisions (along with divisions 35, 44, and 45) of the National Multicultural Conference and Summit (NMCS). In 2008 the Society of Counseling Psychology held its first international conference in Chicago, acknowledging the global nature of counseling psychology. In fact, there has been a growing emphasis in the field on ensuring transnational and global perspectives in science and practice (see Gerstein, et al. 2009, cited under Reference Works).</p>",2014-1-13,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0146,"Counseling psychology is a specialty within psychology that focuses on counseling, research, and assessment in which close attention is paid to individual’s assets and psychological strengths. Counseling psychologists have three primary roles: remedial (e.g., working to help correct problems), preventative (e.g., interventions focused on forestalling problems), and developmental (e.g., skills training and psychoeducational approaches). The primary interventions of the specialty tend to be brief and cover a variety of settings (e.g., counseling, training, consultation, outreach). Gelso, et al. 2014, Counseling Psychology (cited under Reference Works), summarizes the enduring central values of counseling psychology, noting it has (1) an emphasis on a person’s strengths and optimal functioning; (2) a focus on the whole person, with particular emphasis on life-span development and vocational growth; (3) a commitment to advocacy and social justice, maintaining an ongoing awareness of the importance of environmental context and culture; (4) a concentration on brief, educational, and preventive counseling interventions; and (5) a dedication to the scientist-practitioner model. While counseling psychology’s abiding interest in vocational guidance began in 1908 with the establishment of a vocations bureau by Frank Parsons, most view the field of counseling psychology as beginning with the role of psychologists (in assessment of military personnel) in the 1940s during World War II. The Division of Counseling and Guidance (Division 17) of the American Psychological Association was formally established in 1946. Division 17 changed its name in 1951 to the Division of Counseling Psychology, and again in 2003 to the Society of Counseling Psychology. The major journals in counseling psychology were founded in 1954 (the Journal of Counseling Psychology, cited under Journals) and 1969 (The Counseling Psychologist, cited under Journals).The field’s history can also be marked by its major conferences. The first conference for counseling psychology was held in 1951 at Northwestern University. It was at this conference that the scientist-practitioner model of training was formally endorsed. The field has held a major conference approximately every dozen years since then (1964, Greyston Conference; 1973, Vail Conference; 1987, Georgia Conference; 2001, Houston Conference). At each conference, the field strengthened its identity and debated issues of importance to the field, such as social justice initiatives and multicultural competencies. In 1999, Division 17 was one of the founding divisions (along with divisions 35, 44, and 45) of the National Multicultural Conference and Summit (NMCS). In 2008 the Society of Counseling Psychology held its first international conference in Chicago, acknowledging the global nature of counseling psychology. In fact, there has been a growing emphasis in the field on ensuring transnational and global perspectives in science and practice (see Gerstein, et al. 2009, cited under Reference Works)."
Personality Psychology,"Robert D. Latzman, Yuri Shishido",10.1093/obo/9780199828340-0109,"<p>The title of “Godfather of Personality” may well be ascribed to Gordon Allport, who was the first to make public efforts to promote the “field of personality” in the 1930s (see Allport and Vernon 1930, cited under Gordon Allport). Personality psychology—located within what many argue is the broadest, most encompassing branch of psychological science—can be defined as the study of the dynamic organization, within the individual, of psychological systems that create the person’s characteristic patterns of behaviors, thoughts, and feelings (see Allport 1961, also cited under Gordon Allport). The field of personality psychology is concerned with both individual differences—that is, the way in which people differ from one another—and intrapersonal functioning, the set of processes taking place within any individual person. The area of personality psychology is often grouped with social psychology in research programs at universities; however, these are quite different approaches to understanding individuals. While social psychology attempts to understand the individual in interpersonal or group contexts (i.e., “when placed in Situation A, how do people, in general, respond?”), personality psychology investigates individual differences (i.e., “how are people similar and different in how they respond to the same situation?”). Personality psychology has a long history and, as such, is an extremely large and broad field that includes a large number of approaches. Discerning readers will quickly note that the current chapter is largely focused on what has come to be the most commonly studied perspective, the trait approach. Those readers interested in other approaches are referred to a number of resources focusing on Other Approaches within the diverse field.</p>",2013-10-29,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0109,"The title of “Godfather of Personality” may well be ascribed to Gordon Allport, who was the first to make public efforts to promote the “field of personality” in the 1930s (see Allport and Vernon 1930, cited under Gordon Allport). Personality psychology—located within what many argue is the broadest, most encompassing branch of psychological science—can be defined as the study of the dynamic organization, within the individual, of psychological systems that create the person’s characteristic patterns of behaviors, thoughts, and feelings (see Allport 1961, also cited under Gordon Allport). The field of personality psychology is concerned with both individual differences—that is, the way in which people differ from one another—and intrapersonal functioning, the set of processes taking place within any individual person. The area of personality psychology is often grouped with social psychology in research programs at universities; however, these are quite different approaches to understanding individuals. While social psychology attempts to understand the individual in interpersonal or group contexts (i.e., “when placed in Situation A, how do people, in general, respond?”), personality psychology investigates individual differences (i.e., “how are people similar and different in how they respond to the same situation?”). Personality psychology has a long history and, as such, is an extremely large and broad field that includes a large number of approaches. Discerning readers will quickly note that the current chapter is largely focused on what has come to be the most commonly studied perspective, the trait approach. Those readers interested in other approaches are referred to a number of resources focusing on Other Approaches within the diverse field."
Military Psychology,"Updesh Kumar, Swati Mukherjee",10.1093/obo/9780199828340-0298,"<p>Military psychology is a specialized field of applied psychology that defines itself not through its subject content or methodological concerns, rather through its goal of optimally fulfilling the requirements of its end user, the armed forces. It is a distinctive domain where varied sub-disciplines of psychology converge in pursuance of ensuring efficiency, effectiveness, and sustained performance by the armed forces in specific contexts and under exceptional circumstances. It is focused on building, enhancing, and optimizing the human capital. Though psychological principles have always been used by humankind in warfare, military psychology as a modern discipline found expression as recently as the First World War. Remarkably, the relationship between military and psychology has been almost symbiotic, the two growing in tandem and benefitting mutually. While the German military was a pioneer in utilizing the expertise of psychologists in the war effort, using aptitude testing for recruitment into different occupation, during the First World War, utilization of psychological expertise by Britain and France remained limited. After entering the First World War in 1917 the United States effectively utilized psychological knowledge in recruitment, classification, and training. Large-scale use of psychology gave impetus to the growth of psychology and resulted in the establishment of the Division of Psychology in the office of the Surgeon General of the US Army in 1917. Psychology in the military grew exponentially during the years of the Second World War. Psychologists were recruited in various branches of the armed forces, overseeing personnel selection, health care, training, proficiency measurement, and leadership. The American Psychological Association recognized the contributions of psychology to the war effort by including the Division of Military Psychology (Division 19) as a formal sub-division in 1945. The psychologists gained a formal entry in the British civil services during the postwar period. As the world settled into an uneasy peace and a Cold War, military psychology found ever newer avenues. While ensuring person-job fit remained a prime domain, clinical intervention, human factor engineering, leadership, propaganda, and other social processes provided military psychologists with new research opportunities. In the current era of techno-centric warfare, military psychology is finding applications in varied domains of optimizing man-machine interface for enhanced operational efficiency, enhancing cognitive capabilities through artificial intelligence supported decision networks and an improved understanding of personality processes. Also, as the changing nature of warfare necessitates that the nations find alternative ways of securing their interests beyond war, military psychology today stands at a juncture facing not only methodological challenges, but also unprecedented challenges of an ethical nature.</p>",2022-11-29,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0298,"Military psychology is a specialized field of applied psychology that defines itself not through its subject content or methodological concerns, rather through its goal of optimally fulfilling the requirements of its end user, the armed forces. It is a distinctive domain where varied sub-disciplines of psychology converge in pursuance of ensuring efficiency, effectiveness, and sustained performance by the armed forces in specific contexts and under exceptional circumstances. It is focused on building, enhancing, and optimizing the human capital. Though psychological principles have always been used by humankind in warfare, military psychology as a modern discipline found expression as recently as the First World War. Remarkably, the relationship between military and psychology has been almost symbiotic, the two growing in tandem and benefitting mutually. While the German military was a pioneer in utilizing the expertise of psychologists in the war effort, using aptitude testing for recruitment into different occupation, during the First World War, utilization of psychological expertise by Britain and France remained limited. After entering the First World War in 1917 the United States effectively utilized psychological knowledge in recruitment, classification, and training. Large-scale use of psychology gave impetus to the growth of psychology and resulted in the establishment of the Division of Psychology in the office of the Surgeon General of the US Army in 1917. Psychology in the military grew exponentially during the years of the Second World War. Psychologists were recruited in various branches of the armed forces, overseeing personnel selection, health care, training, proficiency measurement, and leadership. The American Psychological Association recognized the contributions of psychology to the war effort by including the Division of Military Psychology (Division 19) as a formal sub-division in 1945. The psychologists gained a formal entry in the British civil services during the postwar period. As the world settled into an uneasy peace and a Cold War, military psychology found ever newer avenues. While ensuring person-job fit remained a prime domain, clinical intervention, human factor engineering, leadership, propaganda, and other social processes provided military psychologists with new research opportunities. In the current era of techno-centric warfare, military psychology is finding applications in varied domains of optimizing man-machine interface for enhanced operational efficiency, enhancing cognitive capabilities through artificial intelligence supported decision networks and an improved understanding of personality processes. Also, as the changing nature of warfare necessitates that the nations find alternative ways of securing their interests beyond war, military psychology today stands at a juncture facing not only methodological challenges, but also unprecedented challenges of an ethical nature."
Data Sharing in Psychology,Joy Kennedy,10.1093/obo/9780199828340-0272,"<p>Narrowly defined, data sharing is the practice of making scientific research data available to other researchers. However, the term is often used to include a variety of open-science practices, including making data, methodology (e.g., coding scheme), analytic syntax, and other research materials available to other researchers, as well as the reuse of those resources by others. There are multiple avenues for data sharing, for example data repositories (either subscription-based or free) or direct request to the researcher. Data sharing is a fairly common practice in the life and earth sciences. Excepting a handful of longitudinal projects, psychology lacks this robust historical precedent for sharing data. In fact, in the not-so-distant past, institutional review boards typically required that data be destroyed after a preset period in order to protect participants’ privacy—and some still do. And many researchers still do not take the first step—modifying their informed consent procedures to include explicit consent to share. Although still not frequent, data sharing in psychology is becoming more common. In part, this trend is being driven by the requirements set by publications and funding agencies. For publications, data sharing is intrinsic to transparency and replication of study findings. For funders, data sharing ensures greater return on investment—that expensive and time-consuming primary data collection does not wind up sitting on a dusty shelf, but rather can be reused for secondary data analysis to answer new questions. In psychology as in other fields, technological improvements in storage capacity and computing power have also facilitated data sharing and reuse. While many psychologists are still concerned that data sharing will result in being “scooped” or found in error, there is increasing recognition of the benefits of data sharing. First, data repositories ensure that data are archived, and that the burden of preservation does not fall on the researcher or the researcher’s institution. Sharing also increases the pace of scientific progress, as researchers can build on each other’s work. For example, researchers can learn how other experts approached measurement or coding of a given outcome. In replication studies, inconsistent findings can point to contextual variations in the construct under study, rather than researcher error. And in a field where null findings are often difficult to publish, sharing allows these data to be included in meta-analyses across studies to examine broader impacts. Most importantly, data sharing enhances transparency, a key ingredient in the scientific process.</p>",2021-2-24,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0272,"Narrowly defined, data sharing is the practice of making scientific research data available to other researchers. However, the term is often used to include a variety of open-science practices, including making data, methodology (e.g., coding scheme), analytic syntax, and other research materials available to other researchers, as well as the reuse of those resources by others. There are multiple avenues for data sharing, for example data repositories (either subscription-based or free) or direct request to the researcher. Data sharing is a fairly common practice in the life and earth sciences. Excepting a handful of longitudinal projects, psychology lacks this robust historical precedent for sharing data. In fact, in the not-so-distant past, institutional review boards typically required that data be destroyed after a preset period in order to protect participants’ privacy—and some still do. And many researchers still do not take the first step—modifying their informed consent procedures to include explicit consent to share. Although still not frequent, data sharing in psychology is becoming more common. In part, this trend is being driven by the requirements set by publications and funding agencies. For publications, data sharing is intrinsic to transparency and replication of study findings. For funders, data sharing ensures greater return on investment—that expensive and time-consuming primary data collection does not wind up sitting on a dusty shelf, but rather can be reused for secondary data analysis to answer new questions. In psychology as in other fields, technological improvements in storage capacity and computing power have also facilitated data sharing and reuse. While many psychologists are still concerned that data sharing will result in being “scooped” or found in error, there is increasing recognition of the benefits of data sharing. First, data repositories ensure that data are archived, and that the burden of preservation does not fall on the researcher or the researcher’s institution. Sharing also increases the pace of scientific progress, as researchers can build on each other’s work. For example, researchers can learn how other experts approached measurement or coding of a given outcome. In replication studies, inconsistent findings can point to contextual variations in the construct under study, rather than researcher error. And in a field where null findings are often difficult to publish, sharing allows these data to be included in meta-analyses across studies to examine broader impacts. Most importantly, data sharing enhances transparency, a key ingredient in the scientific process."
Correspondence Analysis in Psychology,Michael Greenacre,10.1093/obo/9780199828340-0311,"<p>Correspondence analysis (CA) is a statistical method of multivariate analysis, which applies to a rectangular table of categorical data, with a wide range of applications in the social sciences, as well as in ecology, archaeology, and linguistics. This bibliography focuses primarily on its development and applications in the field of psychology, where it is often difficult to grasp the interrelationships between observed variables that are generally on categorical scales. The method has several historical origins and equivalent definitions. One of the earliest, due to the eminent British statistician Ronald A. Fisher, defines the method as a way of quantifying the categories of two categorical variables, that is, assigning scale values to the categories, with the objective of maximizing their discriminatory power, equivalent to maximizing their correlation. This idea was generalized to quantifying more than two categorical variables by the psychologist Louis Guttman. The same idea formed the basis of two research schools, led by Chikio Hayashi in Japan, and Jan de Leeuw in the Netherlands. The French linguist and mathematician Jean-Paul Benzécri realized the geometric interpretation of CA and developed the method as a tool for visualizing categorical data, which is its most popular application today. Simple CA visualizes the rows and columns of a two-way table as points in a spatial map, where the association between the row and column categories can be directly interpreted. When the table is a cross-tabulation called a contingency table, CA thus goes beyond the typical measurement and test of row–column association (e.g., the chi-square test) by explicitly showing what the main features of that association are. The generalization of the method, called multiple correspondence analysis (MCA), analyzes more than two categorical variables simultaneously and is routinely used to understand patterns of response in questionnaire surveys that involve many questions with categorical responses. All forms of CA are variants of principal component analysis (PCA), with two important generalizations of the regular way PCA is defined and used: (i) the distance function used to measure differences between the categories, called the chi-square distance, and (ii) the weighting of the categories proportional to their marginal sums. CA has been developed in a similar way to PCA, for example by introducing linear restrictions, where it is called canonical correspondence analysis (CCA), similarly to redundancy analysis (RDA) for PCA. Categorical PCA (CatPCA) is also a special restricted case of MCA.</p>",2023-5-26,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0311,"Correspondence analysis (CA) is a statistical method of multivariate analysis, which applies to a rectangular table of categorical data, with a wide range of applications in the social sciences, as well as in ecology, archaeology, and linguistics. This bibliography focuses primarily on its development and applications in the field of psychology, where it is often difficult to grasp the interrelationships between observed variables that are generally on categorical scales. The method has several historical origins and equivalent definitions. One of the earliest, due to the eminent British statistician Ronald A. Fisher, defines the method as a way of quantifying the categories of two categorical variables, that is, assigning scale values to the categories, with the objective of maximizing their discriminatory power, equivalent to maximizing their correlation. This idea was generalized to quantifying more than two categorical variables by the psychologist Louis Guttman. The same idea formed the basis of two research schools, led by Chikio Hayashi in Japan, and Jan de Leeuw in the Netherlands. The French linguist and mathematician Jean-Paul Benzécri realized the geometric interpretation of CA and developed the method as a tool for visualizing categorical data, which is its most popular application today. Simple CA visualizes the rows and columns of a two-way table as points in a spatial map, where the association between the row and column categories can be directly interpreted. When the table is a cross-tabulation called a contingency table, CA thus goes beyond the typical measurement and test of row–column association (e.g., the chi-square test) by explicitly showing what the main features of that association are. The generalization of the method, called multiple correspondence analysis (MCA), analyzes more than two categorical variables simultaneously and is routinely used to understand patterns of response in questionnaire surveys that involve many questions with categorical responses. All forms of CA are variants of principal component analysis (PCA), with two important generalizations of the regular way PCA is defined and used: (i) the distance function used to measure differences between the categories, called the chi-square distance, and (ii) the weighting of the categories proportional to their marginal sums. CA has been developed in a similar way to PCA, for example by introducing linear restrictions, where it is called canonical correspondence analysis (CCA), similarly to redundancy analysis (RDA) for PCA. Categorical PCA (CatPCA) is also a special restricted case of MCA."
Counseling Services in School Psychology,No authors,10.1093/obo/9780199828340-0257,"<p>School psychologists can provide an important contribution through the provision of counseling services. While psychological assessment remains a foundation area separating school psychologists from other disciplines, counseling services offer school psychological service models an important juncture for impacting a multiplicity of psychological, familial, and school problems. Given the diversity of counseling services provided within modern schools, though, school psychologists and support professionals often lack critical information on the role school psychologists can play in providing a wide spectrum of counseling services. This article considers contemporary mental health issues impacting children, examines individual and group counseling models, considers newer research involving family counseling within the schools, and discusses legal challenges.</p>",2020-1-15,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0257,"School psychologists can provide an important contribution through the provision of counseling services. While psychological assessment remains a foundation area separating school psychologists from other disciplines, counseling services offer school psychological service models an important juncture for impacting a multiplicity of psychological, familial, and school problems. Given the diversity of counseling services provided within modern schools, though, school psychologists and support professionals often lack critical information on the role school psychologists can play in providing a wide spectrum of counseling services. This article considers contemporary mental health issues impacting children, examines individual and group counseling models, considers newer research involving family counseling within the schools, and discusses legal challenges."
Inferential Statistics in Psychology,David Trafimow,10.1093/obo/9780199828340-0264,"<p>There are two main inferential statistical camps in psychology: frequentists and Bayesians. Within the frequentist camp, most researchers support the null hypothesis significance testing procedure but support is growing for using confidence intervals. The Bayesian camp holds a diversity of views that cannot be covered adequately here. Many researchers advocate power analysis to determine sample sizes. Finally, the a priori procedure is a promising new way to think about inferential statistics.</p>",2020-7-29,Oxford University Press,https://doi.org/10.1093/obo/9780199828340-0264,"There are two main inferential statistical camps in psychology: frequentists and Bayesians. Within the frequentist camp, most researchers support the null hypothesis significance testing procedure but support is growing for using confidence intervals. The Bayesian camp holds a diversity of views that cannot be covered adequately here. Many researchers advocate power analysis to determine sample sizes. Finally, the a priori procedure is a promising new way to think about inferential statistics."
