doi,abstract,label
10.1093/obo/9780199756223-0135,dvid hume (b –d ) ws one of centrl figures of wht we now commonly cll scottish enlightenment he lived nd wrote durg time when questions bout scotlnd’s politicl future nd its plce both brit nd world figured promently only four yers before hume’s birth scotlnd united with englnd to form gret brit process scots gve up ir sttus s seprte kgdom with its own prliment politicl context of hume’s world ws lso shped by legcy of th-century politicl conflicts tht hd led to english civil wr resultg execution of one kg (chrles i) nd overthrow of nor (jmes ii) jcobite uprisgs ofnd — ltter briefly sw jcobite forces cpture edburgh—mde cler tht those conflicts hd not yet been settled plce of religion nd religious extremism politics ws still of gret concern it ws onlytht thoms ikenhed twenty-yer-old student edburgh becme lst scot hnged for blsphemy hume’s time fctions with kirk (church of scotlnd) competed for control of tht stitution nd nd politicl power it wielded british prliment nd british more widely often-virulent prty politics of dy rised questions bout cuses nd effects of fctionlism to his contemporries hume ws known terntionlly s mn of letters nd s histor (even tody his entry ctlogue of british librry lists him simply s “ histor”) hume ws lso philosopher nd n essyist politicl questions formed much tht he wrote he gve susted ttention to fctionlism religious nd politicl extremism (wht hume termed “enthusism”) religious tolertion origs nd foundtions of government politicl uthority liberty commerce justice nd mny or questions tht re of centrl concern to politicl orists spekg hume’s nswers to se questions emphsized n empiriclly grounded ccount of humn nture for understndg politics; significnce of historicl nd politicl contexts; roles of opion hbits nd conventions politicl life; politicl modertion; nd limits of reson nd role of pssions morls nd politics hume developed his politicl thought most explicitly politicl essys of s nd s nd his multivolume history of englnd (–) discussions of justice nd llegce to government however ppered first bookof tretise of humn nture nd n g revised form n enquiry concerng prciples of morls those terested hume’s politicl thought my lso wnt to consult his works on religion ( nturl history of religion nd dilogues concerng nturl religion) nd n enquiry concerng humn understndg hume’s letters should not be overlooked eir; he ws n enggg correspondent though some of his letters did not survive or hve yet to be rediscovered published collections of hume’s correspondence cont significnt discussions of politicl topics tht will be of gret terest to students of his politicl thought,political science
10.1093/obo/9780199756223-0176,niccolò mchivelli (b –d ) stnds s one of most fmous nd fluentil thkers of western politicl trdition his writgs hve spired guided outrged nd perplexed tellectuls nd politics like for more thn hlf millennium nd even st century y rem mjor subject of cdemic controversy mchivelli is best known for prce slim volume tht purports to tech spirg prces how to cquire nd mt power lthough nomlly contribution to “mirror-for-prces” its subversive nture ws obvious even to its erliest reders nd mchivelli’s nme hs sce become synonymous with cunng duplicity trechery nd ruthlessness it depicts his or mjor politicl works clude discourses on livy much longer study of romn republicnism florente histories n exmtion of his own city’s troubled republicn pst nd rt of wr dilogue tht fetures contemporry personges cludg mercenry cpt fbrizio colonn wher nd how mchivelli tended se books to form coherent politicl philosophy is mtter of considerble debte; neverless y ll reflect mchivelli’s ttentiveness to lessons tught by politicl history known to him through clssicl sources such s livy tcitus nd polybius nd through his own experiences s chncellor of florente republic uthors wish to thnk eric buonnno nd lexnder trubowitz for ir reserch ssistnce on this project,political science
10.1093/obo/9780199756223-0121,morl obligtion to obey lw or s it is clled politicl obligtion is morl requirement to obey lws of one’s country trditionlly this hs been viewed s requirement of cert kd to obey lw becuse it is lw s opposed to content of prticulr lws this conception of “content dependence” of obligtions dtes bck t lest to time of thoms hobbes: “commnd is where mn sith doe this or doe not this without expectg or reson thn will of him tht syes it” (hobbescited under mjor historicl sources p ) chrcterizg this s morl requirement orists distguish politicl obligtion from legl obligtion ll legl systems demnd obedience from those subject to m questions of politicl obligtion concern stte’s justifiction for dog so unless citizens hve morl requirements to obey lw stte my be ble to compel obedience but is ctg unjustly nd impgg on ir freedom dog so politicl obligtions re lso distguished from wht we my cll prudentil obligtions s h l hrt rgues if gunmn holds you up you my be obliged to turn over your money s consequences of not obeyg could be dire contrst when stte demnds tht you py your txes you my g be obliged to py but if you hve politicl s well s prudentil obligtions re is sound morl bsis for stte’s commnd or words it is right tht you comply (hrtcited under forml fetures of obligtions nd politicl obligtions pp –) on this trditionl view reltionship between stte nd dividul is expressed terms of “uthority” if stte possesses uthority n dividuls hve morl requirements to obey its commnds nd stte hs “clim rights” to ir obedience recent yers politicl obligtions hve been conceptulized prticulr wy s pplictions of fmilir morl prciples for stnce s commonly understood n obligtion of grtitude is by receipt of benefits from benefctor if cert or conditions re met grtitude ory of obligtion results from tkg prciple of grtitude nd pplyg it to stte which on this view is terpreted s conferrg significnt benefits on citizens citizens hve duties to mke pproprite returns for benefits received which y fulfill by obeyg lw debte over grtitude ory lrgely centers upon necessry conditions for grtitude obligtions nd wher y re stisfied by stte provision of benefits similr overll ptterns re seen regrd to ories bsed on consent firness nturl duties of justice nd or morl prciples se re developed with gret sophistiction by numerous scholrs with no greement on which pproch is best with number of competg ories of obligtion literture orists criticize or views s prt of project of defendg ir own commonly orist begs by rgug for set of criteri tht n dequte ory of politicl obligtion must stisfy especilly importnt s rgued by john simmons (simmonscited under overviews) re tht requisite morl requirements re held by ll or most ll citizens nd “prticulrity” tht y re owed to one’s own country hvg estblished stndrds of success scholr proceeds to demonstrte tht her ory is lone beg ble to stisfy m however perhps domnt trend literture recent yers is belief tht no ory stisfies criteri for successful ory scholrs who support this position typiclly exme fmilir ccounts of politicl obligtion one by one rejectg ech turn this strtegy is followed smithnd rz(both cited under birth of skepticism) mong ors while simmonsis probbly most proment exmple for convenience i will refer to this strtegy s “knockdown” pproch response to criticisms of prticulr ories tht hve emerged scholrs hve ttempted to rework different positions re hs been considerble progress on mny different pproches nd much of literture tkes form of debtes bout strengths nd weknesses of prticulr pproches but t present time no ory hs been ble to survive scruty pprent success of knockdown pproch hs skepticism bout both existence nd possibility of stisfctory ory of obligtion so-clled philosophicl nrchists rgue tht this sitution is not s countertuitive s it my pper s people re likely still to hve morl resons to obey importnt lws for stnce it is cler tht lice hs good morl resons to refr from killg or people nd tht se resons hold wher or not she hs morl requirement to obey lw gst murder thus it is not cler how much difference lw gst murder mkes on this view n s long s re re morl resons to behve recognizbly pproprite wys disprovg existence of politicl obligtions will not hve unduly deleterious effects while knockdown pproch nd its implictions hve received considerble ttention or scholrs hve criticized this strtegy while ors hve ttempted or pproches to questions of politicl obligtion not surprisgly conditions tht stisfctory ory of obligtion must stisfy hve ttrcted scholrly ttention for stnce knockdown pproch typiclly criticizes ories one by one hvg shown tht sy consent is not stisfctory bsis for politicl obligtions scholr moves on to next ory nd n next but response it is rgued tht just becuse prticulr ory is not ble to estblish complete set of politicl obligtions does not men it is unble to estblish ny t ll nd so possibility is rised of combg different pproches or ories order to construct new “multiple-prciple” ory ccordgly one result of promence of knockdown pproch nd or criticisms of trditionl ories of politicl obligtion hs been to rise importnt wider issues concerng ories of obligtion nture of politicl obligtions mselves nd implictions if no ccount proves stisfctory much of literture discussed this rticle is orgnized round prticulr pproches both defenses nd criticisms i hve distguished wht i view s more proment pproches from ors tht hve been developed but tht seem to me less promisg or tht hve received less scholrly notice but one should recognize tht this distction is somewht rbitrry while re re lso lterntive wys contributions to literture cn be orgnized ddition i hve ttempted to clude both importnt recognized contributions nd some more recent pieces tht seem prticulrly terestg mny importnt discussions of politicl obligtion re chpters books or rticles collections se re listed seprtely which mens tht some books pper more thn once,political science
10.1093/obo/9780199756223-0327,t its hert tersectionlity is study of reltive power s such politicl scientists hve employed this pproch s both ory nd method to exme politicl behvior nd stte’s terction with groups s citizens nd noncitizens tersectionlity is frmework tht recognizes terconnectedness of ctegories tht overlp with systems of discrimtion or disdvntge study of tersectionlity is terdisciplry nd does not hve one cdemic home s such we compiled list of texts tht hve used this concept methodologicl frmework or oreticl pproch to nswer questions usg politicl science lens with gol of providg brod summry of contemporry reserch this field furrmore we mde n effort to represent reserch tht highlights vrition mong groups regions nd issues s wy to illustrte diversity with tersectionl reserch projects politicl science tersectionlity hs been used s normtive oreticl rgument nd methodologicl pproch to empiricl reserch rooted blck femist ory nd prxis tersectionlity hs been employed s n nlyticl tool to brg to light issues of mrgliztion nd systemtic oppression tht were previously visible by usg sgle xis pproch much of politicl science reserch seeks to understnd experiences of those with one or more mrglized identities s politicl ctors reserch this field is diverse popultions nd questions exmed s well s methods employed contemporry reserch on tersectionlity cludes comprtive nd terntionl reserch on ntions round world it explores role of stitutions culture nd context s well s dividul politicl identities ttitudes nd behvior this scholrship lso exmes differences of experiences with popultions—such s women nd rcil ethnic or religious morities often grouped for nlysis or fields pplyg n tersectionl nlysis to politicl experiences of se popultions this reserch often highlights wys which different identities re with distct ttitudes behvior nd politicl outcomes s result tersectionlity reserch politicl science offers deeper sights to politicl phenomen tht were previously exmed with sgle xis pproch for exmple studies of women’s politicl volvement tht did not ccount for difference mong groups of women filed to ccount for how ethno-rcil sexul orienttion ntivity disbility or religion my hve fluenced women’s politicl experiences nd politicl outcomes mong debtes engged by this literture re questions revolvg round politicl experiences with multiple mrglized identities specificlly do groups cndidtes or public officils who possess multiple mrglized identities experience so-clled double disdvntge? some reserch dictes this is cse while ors fd strtegic dvntge with tersectionl identities,political science
10.1093/obo/9780199756223-0339,femist studies hve rejected ssumption ccordg to which violence is n dividul or privte issue tht hs to be primrily pproched from perspective y hve underscored lk between violence nd or fctors of equlities femists contend tht men use violence s mens to exercise power over women y hve defended ide ccordg to which violence gst women is form of politicl violence mrxist/mterilist femisms hve rgued tht dichotomy between privte nd public spheres structures power reltions between women nd men y hve shown tht privte/public distction depoliticizes privte sphere simultneously y hve demonstrted tht privte sphere—s much s public dom—is politicl construction which serves to reforce women’s subordtion nd ir politicl nd economic exploittion women’s relegtion to domestic tsks nd ir responsibility for cre work reforce norm of politicl prticiption nd economic resources s mle privilege concept of politicl violence loctes politics public dom nd lks violence with rmed conflicts movements nd wrs by contrst femist studies situte production of politicl violence with doms of life which were previously dismissed s irrelevnt for politics: home neighborhood timte spce terpersonl reltions nd everydy life femist ories mke visible politicl nture of violence gst women y consider tht violence gst women tkes vrious forms occurs ll spces nd is closely tertwed with hierrchies violence gst women is n strument for mtg women’s oppression nd men’s privileges politicl economy of ptrirchy nd equlities mkes women more vulnerble nd fuels violence gst women furrmore women of color nd queer femists hve highlighted importnce of or ctegories of identity such s rce clss nd sexulity wy violence is deployed focus on sted of women enbles to brg nunces to monolithic representtions of msculity nd femity by demonstrtg how mscule nd feme constitute constructed sets of ttributes behviors nd roles tht re constntly negotited nd chngg over time nd history n tersectionl pproch to is refore necessry to understnd how violence differently trgets nd ffects women of color nd queer people,political science
10.1093/obo/9780199756223-0089,cosmopolitn politicl thought is n emergg subfield of politicl ory it is motivted by turn beyond studyg texts nd ides of trditionl western cnon nd lso by reflections on wht kds of pproches should chrcterize such study it emerges from yet distguishes itself from two or subfields: cosmopolitnism nd comprtive politicl ory it cknowledges tht orizg beyond western resources is crucil but it suggests tht more importnt question is methodologicl one tht is it is not simply bout content of which ides nd texts re studied but lso bout how y re studied nd wht ssumptions re reveled by given wy of pprochg non-western resources cosmopolitnism trces of its ides to ncient greek nd romn trditions of stoicism cllg for recognizg community of rtionl begs worldwide s source of most fundmentl morl nd obligtions contemporry cosmopolitnisms pply this ide to diversity of mes nd debtes rngg from questions of ntionlism nd globl distributive justice to terntionl lw humn rights globl democrcy climte chnge nd just wr ory comprtive politicl ory menwhile is subfield of politicl ory tht emerged to focus on study of politicl thought from civiliztions outside west se studies clude mong ors histories of politicl thought with cert non-western trditions (such s dic islmic chese fricn or lt mericn ones) history of prticulr concepts with civiliztions conceptul comprison cross civiliztions nd tretment of terpretive or commentril debtes pertg to cert concepts or problems with cert trditions cosmopolitnism rises question of brodeng scope of politicl questions to globl but it privileges west nd suggests tht its tellectul heritge conts resources for such orizg comprtive politicl ory ddresses non-western texts nd ides but it rems silent on which pproches would constitute more cosmopolitn evolution politicl ory’s self-understndg cosmopolitn politicl thought moves beyond both se discourses enggg methodologicl reflection bout how tsks nd purposes of politicl orizg might be reconceived so tht very prctices of orizg might become more cosmopolitn mong or thgs it rgues tht ny study of non-western thought must proceed from with from perspective ternl to trdition nd its centrl texts preoccuptions ides nd concerns thus it emphsizes detiled study of nd immersion with ny importnt civiliztionl tellectul trdition s prerequisite for ny subsequent enggement with such ides study of works with prticulr civiliztions serves to furr more cosmopolitn mode of politicl orizg rr thn simply servg s n rtifct of regionlly specific terest,political science
10.1093/obo/9780199756223-0334,postcolonil politicl ory is n emergg subfield of politicl ory lthough its prmeters nd prticulr mengs re less thn clerly defed nd subject to contesttion relted to more critique of politicl ory’s trditionl eurocentric bis postcolonil politicl ory is motivted by three key issues: first how colonilism shped trditionl western cnon; second brod silence on colonilism nd its legcies mstrem politicl orizg; nd third tensions prticulrly with liberl politicl ory between its universl pretentions nd culturlly specific western loction of rticultion scope of quiry postcolonil politicl ory is brodly responsive to postcolonilism body of thought concerned with trcg enggg nd respondg to culturl politicl nd economic legcies of western colonilism prticulrly period of europen colonil rule between th nd mid-th centuries with prticulr emphsis on reltionship between power nd knowledge postcolonil ories nd pproches tke development of modernity s cotermous with europen colonil nd imperil projects nd refore exme wys which modern systems of knowledge re implicted colonil reltions of power postcolonil politicl ory similrly trets politicl modernity s imprted by western colonilism nd imperilism mkg for distct politicl dynmics problems nd forms of justice on one hnd nd shpg history of europen politicl thought on or this regrd postcolonil politicl ory does not just cll for wideng of remit of politicl ory beyond trditionl europen cnon to clude non-western texts voices nd perspectives it lso rises profound questions bout wys which ctegories ides nd ssumptions of politicl ory hve been complicit nd served to legitimize domtion of colonized peoples nd non-western nd subltern morities postcolonil politicl ory seeks to rticulte lterntive modes of orizg tht cn better spek to concerns of justice for formerly colonized peoples nd those ffected by neo-imperil fetures of current globl order n importnt element of this is concerned with methodology prticulr use of multidisciplry sights from history culturl studies nd nthropology mong ors s well s thkers nd texts tht would not conventionlly be considered “politicl” ccordg to domnt western conceptions of politics,political science
10.1093/obo/9780199756223-0346,“ncient chese politicl thought” refers to reflections nd discussions bout politics durg period before first emperor estblished q dynstybce lthough one could lso fer some politicl thought of tht period from or rcheologicl evidence m sources of such reflections nd discussions re texts believed to dte bck to tht period some of which becme foundtion of chese eduction tht begn hn dynsty ( bce– ce) nd lsted till begng of th century lthough disrupted by turbulent history of ch’s encounter with modernity erly th century study of ncient chese texts hs become center of wht is known s “ntionl studies (guoxue国学)” people’s republic of ch (prc) tody with stitutes devoted to it mny chese universities supportg reserchers from vrious disciples revivl of confucism coupled with rise of culturl ntionlism mlnd ch mny chese scholrs hve turned to ncient chese politicl thought for spirtion ir serch for distctively chese perspectives on politics both locl nd globl nd y dvocte chese lterntives or models to ddress contemporry chllenges with limited spce publictions selected for this rticle mke up only smll frction of works english nd even fewer mndr tht discuss ncient chese politicl thought ( focus on english works is due to considertion tht not ll reders of this rticle would be ble to red mndr) ddition to beg studied s prt of erly chese civiliztion tht hs fluenced chese through subsequent centuries politicl orists nd philosophers engge ncient chese politicl thought to ddress perennil or contemporry politicl problems contributg significntly to growth of comprtive politicl ory nd comprtive politicl philosophy,political science
10.1093/obo/9780199756223-0349,lthough itilly conceptulized s lked to geogrphicl region tht cludes much of di nepl bhutn pkistn bngldesh nd sri lnk south s politicl thought s rich nd distct field of study is reltively new lst two decdes erlier portryls of s hve been seen s missg essentil spects of ir politicl life so fr this field hs focused on contributions of dividuls events nd circumstnces of colonil history from th century s reform movements begn to respond to chllenge posed by colonil trusion however new wys hve risen to study this region movg wy from confes of trditionl eurocentric understndg of south si se pproches lso troduce mss ctors s of nd politicl chnge subsequently history of south s politicl ides hs emerged s different from or systems of thought nd ged foothold colleges nd universities cross world s result south s studies re now estblished s vibrnt nd complex terdisciplry field devoted to studyg people’s history culture nd politics se regions lthough re re dngers of usg such clssifiction to understnd diverse re core politicl thkers of this region hve emerged with time who shre specific mes rguments nd politicl prctices lthough widely used re is consensus tht term ‘south si’ officilly emerged wke of territoril ssumptions of re studies it is lso result of stitutionl responses to impertives of cold wr s studies of mkg of south s tellectul history circuitous networks of texts letters essys prty rchives officil reports vernculr prt cultures journls nd songs hve been found to hve enormous cross-fluence between ‘colony’ nd ‘metropole’ however number of publictions on notion of south si is resonbly limited thus re is need to delve to comprehensive rnge of sources scttered mny books rticles nd primry sources delg with nthropology philosophy politics biogrphy nd literture,political science
10.1093/obo/9780199756223-0350,historicl evidence suggests tht politicl humor (ph) is endemic to humn experience nd mny ssume tht vrious politicl humorists or works of ph hve been responsible for producg or politicl chnge implicit this ssumption is ide tht exposure to ph cn ffect how dividuls understnd politicl world terestgly it’s not until firly recently tht this notion hs been explored ny systemtic wy this review focuses on this ph effects reserch fter briefly explorg different spects of essy discusses reserch on effects ph hs on dividuls’ cognition ttitudes nd politicl enggement cludg politicl prticiption,political science
