doi,abstract,label
10.1093/obo/9780199756384-0034,medicl sometimes referred to s helth is study of cuses nd consequences of helth nd illness mjor res of vestigtion clude determnts of helth nd disese behvior of ptients nd helth cre providers functions of helth orgniztions nd stitutions ptterns of utiliztion of helth services reltionship of helth cre delivery systems to or stitutions nd policies towrd helth wht mkes medicl importnt is criticl role fctors ply determg or fluencg helth of dividuls groups nd lrger conditions nd situtions not only promote nd some cses cuse possibility of illness nd disbility but lso enhnce prospects of disese prevention nd helth mtennce erliest works medicl were crried out by physics united sttes not who tended to ignore field this chnged lte s when lrge mounts of federl fundg becme vilble to support jot reserch projects between nd medicl doctors t its ception work medicl ws oriented towrd fdg solutions relevnt for clicl medice howevertlcott prsons ledg orist t tht time troduced his concept of sick role tht subsequently ttrcted or oreticl work nd hd n importnt role of medicl s n cdemic field medicl hs evolved to pot tody tht it vestigtes helth nd medicl problems from n dependent perspective medicl now comprise one of lrgest nd most ctive groups dog work north meric nd europe nd field hs expnded to or regions s well bout one of every ten mericn is medicl,sociology
10.1093/obo/9780199756384-0263,of tourism studies tourists’ reltionships roles nd motivtions nd ongog exchnge mong tourists stitutions nd host communities tourism cnnot be treted isoltion sce it embodies ll tourism prctices system y operte thus tourism is complex economic nd politicl phenomenon nd touches ll levels of vestigtion of tourism’s role tourism system’s effects on nture tourism spces objects prctices reltionships nd tourist typologies demnd systemtic vestigtions resercher needs to consider whole mcro system through its members’ politicl culturl nd economic terctions such context both humn nd nonhumn ctors contuously shpe nd reshpe tourism system nd tourism system reshpes se ctors’ vlues ttitudes nd behviors reserchers exmg of tourism deprted from severl oreticl perspectives blended ory nd method nd focused on concepts to understnd nd expl different spects of tourism this group of scholrs hs been workg with severl cores of (eg eduction fmily economy development religion lnguge migrtion equlities lbor rt) nd t mrgs of emergg terdisciplry formtions cludg those crossg mny disciples such s geogrphy nthropology economics politicl science mrketg communiction women’s studies history nd culturl studies of tourism studies trnsdisciplry converstions both cdemi nd prctice nd results of se studies hve creted prgmtic chnges tourism prctices hbits nd governnce,sociology
10.1093/obo/9780199756384-0187,cognitive is study of conditions under which meng is constituted through processes of reifiction cognitive trces its origs to writgs of knowledge of culture cognitive nd culturl nthropology nd more recently work done culturl nd cognitive science its centrl questions revolve round loctg se processes of reifiction sce locus of cognition is highly contentious reserchers consider how dividulity is relted to notions of (structures stitutions systems etc) nd notions of culture (culturl forms culturl structures sub-cultures etc) se questions furr explore how se nswers depend on lerng processes cculturtion etc) which vry ccordg to position one tkes on role of lnguge cognition it is from se positions tht we opertionlize ory of humn nture nd construct justifiction for orgniztion of stte of humn ffirs nd relted conceptuliztions of identity self nd subject this wy cognitive seeks to estblish miml model of ctor ( ontology) tht underps not only or subfields of but lso humn sciences this wy cognitive nlyzes series of terpersonl processes tht set up conditions for phenomen to become objects” which subsequently shpe thkg nd thought clssicl cognitive historicl trditions of of knowledge nd phenomenology re emphsized with work of bourdieu nd goffmn given specil tretment given ir contributions s precursors to mny of contemporry nd consequences of debtes culture nd cognition prciple orgnizg more contemporry literture re prdigmtic ssumptions concerng locus of cognition which hve been orgnized to five idel-types se elucidte pots of greement nd disgreement field by ddressg how mtic concerns (eg knowledge rtionlity embodiment prctices discourse etc) highlight priority of dividulity modelg to illustrte wht mkes cognitive t once terdisciplry yet contentiously distct ddressg politics of “tcit knowledge”,sociology
10.1093/obo/9780199756384-0221,this rticle curtes scholrship round those understndgs identified to be “knowledges” it vestigtes ir production legitimtg stitutions nd ir experiences nd embodiments it emphsizes those conceptuliztions excluded from cnoniztions of knowledge this knowledge culturl (kcs) recognizes importnce of mnnheim trdition nd its extensions tht expl how reltions shpe rticultions nd vlidtions of knowledge however kcs lso situtes knowledge with systems beyond those who produce nd consume it kcs views knowledge s itself necessrily contested s struggles over its qulities reflect loctions nd rticulte prctices mkg knowledge over subject of quiry kcs works to understnd how knowledges’ symbols schems stitutions nd networks shpe terms of reproduction nd trnsformtions s such kcs demnds considertion of different kds of knowledge culturl products nd modes of communiction kcs is thus necessrily grounded question of wht constitutes knowledge nd for whom nd with wht terests nd expecttions this kcs tervention focuses on st-century work this decision ims to engge scholrship tht extends nd chllenges th-century cnon; cludg works from th century signls scholrship yerng for expnsion rticle is not comprehensive but mrks how knowledge is vlued nd ignored to focus on this century nd move beyond llows enggement with wys of knowg nd beg tht hs historiclly moritized movg considertion to structures nd processes vlidtg some kds of knowledge over ors kcs is not cnoniztion but works towrd libertion knowledge ctivism mobilizg knowledge consequentil public wys longside more fmilir scholrly mbitions kcs moves scholrship beyond fmilir networks nd self-reproducg knowledge hierrchies grounded rce sexulity religion nd world region it seeks to move dilogue beyond knowledge silos nd to identify new nd ignored ides mengs references nd uthorities for constitutg knowledges of consequence refrmg contests long wy for exmple sted of skg how excellence nd diversity cn be combed knowledge production kcs sks wht nti-rcist knowledge excellence cn be ccounts of epistemology ought to foreground contexts nd power reltions which those knowledge sensibilities re formed nd communicted; thus references this rticle move from concept to context likewise sections movg towrd globl nd postcolonil discussions form ontologies nd epistemologies orgnizg scholrly work nd public consequence but this begs with wht might be identified this entry t lest s gretest hits of kcs,sociology
10.1093/obo/9780199756384-0154,rurl is unique re of quiry its stitutionl development leves it perhps most dependent of ll subfields rurl united sttes emerged erly th century when federl fundg ws ermrked to lnd grnt universities (public universities) to study nd ssist frm popultion seprte “rurl” deprtments ppered grdully with colleges of griculture tht prlleled substntive res found deprtments thus one fds rurl repliction of mny core res but with rurl twist—equlity demogrphy work/lbor mrkets rce/ethnicity community nd so forth over time dditionl rurl-oriented specilty res emerged notbly of griculture nd nturl resource/environmentl rurl hs lso expnded globlly s consequence substntive scope of contemporry reserch is lrge nd vried wht knits work toger is focus on geogrphic periphery tht is plces popultions nd forms of ctivity found rurl res globlly which hs provided boundry nd meng to field ddition to its brod substntive scope rurl is chrcterized by distct reserch pproch reserch tends to be comprtive: rurl plces nd popultions re often set contrst with regrd to ir urbn counterprts to scert similrities nd differences this wy rurl reserch is often sid to chllenge urbn bis of disciplry prctice is lso distct while re re few deprtments with rurl ir nme tody courses nd speciliztions field re found cross mny lnd grnt universities re is long trdition of cross-disciplry lkges prticulrly with griculturl economics environmentl sciences nd more recently geogrphy rurl hve been highly ctive federl stte nd locl public policy circles nd public efforts tht contribute to community development sustble griculturl nd food systems nd nd environmentl justice terms of work profession rurl lso work outside of colleges of griculture with government terntionl development nd cross governmentl nd non-governmentl stitutions lthough rurl popultions will contue to decle globlly re is reson to thk tht rurl will hve brod fluence future becuse reserch res it encompsses re of growg terest to scientists policymkers nd public t lrge issues ddressed by rurl pertg to sustbility of food system climte/environmentl chnge nd rurl poverty re mong most pressg public concerns tody,sociology
10.1093/obo/9780199756384-0009,comprtive historicl is brnch of tht nlyzes trnsformtions such s revolutions rise of cpitlism nd ntion-stte democrtiztion nd birth nd trnsformtion of welfre sttes t end of th century ll of ’s europen founders turned to historicl explntion to understnd chnges tht cpitlism hd brought to ir from mrx’s ttempt to expl history s workg out of clss struggle to weber’s vestigtions to comprtive development of economy nd to durkheim’s vestigtions to historicl development of religion lw nd division of lbor se erly historicl rguments were eclipsed however by behviorl revolution nd explosion of sttisticl tools nd techniques of mid-th century which re-founded disciple s study of lrge numbers of dividul ctors or units only when revolutions nd chnge becme cresgly pressg politicl concerns s nd s did lrge number of scholrs once g turn to comprtive historicl s form of explntion most pproprite to nlyzg chnges tht occur frequently or over very long periods nd tht ffect s whole unit while clssics of disciple focus on europen history contemporry scholrs re extendg pproch to rest of world current res of gret terest clude question of why ch did not experience n dustril revolution th century role of stte economic development nd trnsition to cpitlism estern europe some thk tht study of rre events requires different methods from those common rest of nd ccordgly lively methodologicl discussion is underwy field becuse re hs been gret terest stte s source of much trnsformtion subfield overlps considerbly with mcro politicl ; but comprtive historicl scholrs re lso terested processes of nd economic chnge beyond relm of politicl,sociology
10.1093/obo/9780199756384-0015,economic is study of reltionship between nd mrket field corportes sights from economics behviorl economic nthropology nd culturl nthropology structurl nd culturl pproches lrgely chrcterize studies conducted field with former with networks stitutions nd orgniztion; ltter rituls symbols cognitive frmeworks nd nrrtives economic study how networks nd reltionships ffect economic ctions such s provision of lons cquisition of job nd successful construction of dels empiricl studies exme how prices re set why some pricg schemes tht do not seem rtionl re sted understndble nd predictble nd how mrkets re corported to life nd vice vers,sociology
10.1093/obo/9780199756384-0198,music is centrl to culturl life nd refore lso often perceived s centrl to life study of music hs been of terest to cnonic thkers cludg weber simmel nd dorno sce estblishment of study of music hs lso concerned scholrs djcent disciples prticulrly musicology culturl studies nd economics lndmrk distction bourdieu rgued “nothg more clerly ffirms ones ‘clss’ nothg more fllibly clssifies thn tstes music” (distction: critique of judgement of tste [london: routledge ] p ) of music hve ccordgly been concerned with importnce of musicl tste for signifyg sttus nd distguishg culturl hierrchies hve lso been concerned with correltes of musicl preference how musics nd music dustry orgnize to provide music nd fluence tste nd eduction nd workg conditions of musics wht tends to distguish of music from or disciples is commitment to imgtion or use of reserch methods—but not necessrily both nd mny of music work cross disciples hve lso colesced round study of different nd those contributg of prticulr often do so not s but s music folklore or history scholrs whose terests hve extended to of music mericn of music trdition hs rgubly been fluenced more hevily by symbolic terctionism nd rtionl choice ory thn europen where criticl ory hs been more fluentil neverless conceptul nd methodologicl terchnge is growg prticulrly with cresg fluence of bourdieu us of rce nd sexulity hs lso fluenced field significntly this conceptul nd methodologicl diversity mens field hs low prdigmticness however this diversity does led to productive exchnge nd synsis of ides nd methods notbly re is growg terest music s technology nd sights from science nd technology studies s culturl more brodly ttention is turng to “ music itself” music s meditg terction nd rtists nd works embedded wider systems usg computtionl tools prticulrly network nlysis dt prolifertion is novtive quntittive work qulittive reserch is lso beg revigorted by new technologies enblg new terview methods digitl ethnogrphy nd computtionl methods for processg textul dt,sociology
10.1093/obo/9780199756384-0055,culture is symbolic-expressive dimension of life common usge term “culture” cn men cultivtion with “civilized” hbits of md cretive products with rts or entire wy of life with group mong “culture” just s often refers to beliefs tht people hold bout relity norms tht guide ir behvior vlues tht orient ir morl commitments or symbols through which se beliefs norms nd vlues re communicted study of culture encompsses ll se diverse mengs of “culture” mid this diversity wht unifies of culture re two core commitments: tht symbolic-expressive dimension of life is worthy of exmtion both for its own ske nd becuse of its impct on or spects of life; nd tht culture cn be studied usg methods nd nlytic tools of with disciple of culture emerged s bounded subfield durg s prior to this period nlyses of culture were found mly oreticl tretises nd empiricl studies of religion rts nd “ of knowledge” throughout study of culture hs been oriented by common set of brod questions: wht re origs of culture? wht culturl ptterns re found vrious groups nd stitutions? nd wht fluence does culture hve on importnt spects of scholrship of culture rnges from highly conceptul rguments to closely observed empiricl studies redgs cluded here reflect this bredth,sociology
10.1093/obo/9780199756384-0161,of wr is subfield of tht focuses on mcro-level ptterns of wr mkg how engge wrfre meng tht wr hs nd reltionship between stte structure nd wr mkg relted subfield is militry which focuses more explicitly on orgniztion nd functiong of militry forces nd civil- militry reltions se les of scholrship re bound toger by bsic premise tht understndg wr necessittes understndg those who fight it nd vice vers of wr overlps with or fields tht shre n terest government nd politics such s militry history politicl politicl science nd terntionl reltions however se fields tend to be concerned primrily with how wrs beg nd end wheres of wr tends to focus more explicitly on culturl nd implictions of wr nd how wr nd ct nd rect upon ech or with few notble exceptions of wr remed mostly isolted with field of comprtive historicl until s when two trends opened door for n terdisciplry of wr first ws dissiption of wr tboo widespred mericn cdemi nd connected to resistnce gst vietnm wr throughout s nd s renewed terest implictions of wr lso occurred s end of cold wr rised new questions bout role of stte wr mkg nd future of wrfre renewed terdisciplry terest origs of modern ntion-stte led to reexmtion of role tht wrfre plyed nd spred of stte system decde fter terrorist ttcks ofseptemberof wr focused extensively on questions relted to role of nonstte combtnt groups pprent crese symmetricl wr post–cold wr er nd meng tht such trnsformtions wr mkg my crry for tht wge m s globl wr on terror ners end of its second decde scholrs hve cresgly turned ir ttention to understndg terctions between stte nd s les between pecetime nd wrtime become less distguishble most recently of wr hs exhibited brodeng scope with greter emphsis on exmg how wr is situted with lrger ptterns of violence,sociology
