doi,abstract,label
10.1093/obo/9780199828340-0031,health interdisciplinary subspecialty dedicated promoting maintaining health preventing treating illness franz alexander helen flanders dunbar together established first formal gathering individuals interested studying influences mind health movement within mainstream medical establishment coined psychosomatic medicine grew american psychosomatic society aps new field psychosomatic medicine many supporters led formation first society specifically dedicated study mind body connections another movement within field medicine called behavioral medicine looks nonbiological influences health society behavioral medicine sbm multidisciplinary nonprofit organization founded dedicated studying influences behavior health well-being unlike sbm aps whose members overwhelmingly physicians american psychological association division health division group specifically psychologists came mid-s health psychologists pay close attention way thoughts feelings behavior biological processes interact influence health illness many ways health greater subfield within discipline built theoretical ideas research findings many areas example many ways used understand get stressed cope come social personality field health divided three broad natural segments stress coping health behaviors issues health care first section article introduces general overviews textbooks reference works relating health attention also paid journals publish articles presenting novel methods well controversies bibliography remaining sections examine different topics health,psychology
10.1093/obo/9780199828340-0210,phenomenological refers approach draws phenomenological existential hermeneutic philosophy focus work making sense meaning structures lived experience research participant psychotherapeutic client husserl terms—the founder phenomenological philosophy—we go back things present consciousness order determine essence eidos phenomenon one approach phenomenological however perspective better understood family methods modes practice psychological research practice within tradition roots thought husserl key concepts therein also likely informed philosophical work heidegger merleau-ponty sartre existential tradition gadamer ricoeur hermeneutic tradition phenomenological origins european psychiatry work karl jaspers early along figures including ludwig binswanger medard boss viktor frankl eugene minkowski jan hendrick van den berg primary aim thinkers rejection traditional notions psychopathology favor husserl descriptive method analyzing psychological experience b application ideas existential philosophy therapeutic practice variety modes psychotherapeutic practice evolved early work including daseinsanalysis logotherapy british school existential analysis existential-humanistic psychotherapy utrecht school netherlands identified location first attempt apply phenomenological philosophy psychological research influenced work psychologist adrian van kaam philosopher henry koren amedeo giorgi beginning early developed systematic phenomenological methodology duquesne university united states important early figures working develop phenomenological duquesne include rolf von eckartsberg constance f fischer paul f collaizi latter developing phenomenological method hermeneutic giorgi method another relatively early major methodological development came canada late work pedagogical researcher max van manen drew directly utrecht school develop hermeneutic phenomenological methodology recent developments include methodologies draw extensively hermeneutics forms critical social theory including feminist theory developments proven controversial ongoing debates field boundaries methods phenomenological,psychology
10.1093/obo/9780199828340-0299,computational concerned understanding mind various functions domains developing detailed mechanistic process-based models namely computational broad sense models representations mechanisms processes embodies theories computer algorithms programs turn based artificial intelligence computer science imputes computational processes onto psychological functions thereby produces runnable computational models detailed simulations conducted based computational models empirical disciplines cognitive social developmental provide empirical data findings phenomena ideas information computational computational psychologists analyze form coherent theories computational forms turn theories impact disciplines including disciplines draw initial inspirations thus work computational relies empirical work various empirical disciplines work disciplines turn influenced work computational note computational models mostly process theories —that meant answer question human performance behavior comes psychological mechanisms processes representations knowledge ways exactly contrast also possible formulate product theories provide functional account phenomena commit particular psychological mechanism process article emphasizes former note also existence many different even conflicting viewpoints paradigms theories article provide sparse sampling perspectives models especially regard various specific psychological cognitive domains exhaustive complete way reader explore make mind various perspective models,psychology
10.1093/obo/9780199828340-0146,counseling specialty within focuses counseling research assessment close attention paid individual assets psychological strengths counseling psychologists three primary roles remedial eg working help correct problems preventative eg interventions focused forestalling problems developmental eg skills training psychoeducational approaches primary interventions specialty tend brief cover variety settings eg counseling training consultation outreach gelso et al counseling cited reference works summarizes enduring central values counseling noting emphasis person strengths optimal functioning focus whole person particular emphasis life-span development vocational growth commitment advocacy social justice maintaining ongoing awareness importance environmental context culture concentration brief educational preventive counseling interventions dedication scientist-practitioner model counseling abiding interest vocational guidance began establishment vocations bureau frank parsons view field counseling beginning role psychologists assessment military personnel world war ii division counseling guidance division american psychological association formally established division changed name division counseling society counseling major journals counseling founded journal counseling cited journals counseling psychologist cited journals field history also marked major conferences first conference counseling held northwestern university conference scientist-practitioner model training formally endorsed field held major conference approximately every dozen years since greyston conference vail conference georgia conference houston conference conference field strengthened identity debated issues importance field social justice initiatives multicultural competencies division one founding divisions along divisions national multicultural conference summit nmcs society counseling held first international conference chicago acknowledging global nature counseling fact growing emphasis field ensuring transnational global perspectives science practice see gerstein et al cited reference works,psychology
10.1093/obo/9780199828340-0298,military specialized field applied defines subject content methodological concerns rather goal optimally fulfilling requirements end user armed forces distinctive domain varied sub-disciplines converge pursuance ensuring efficiency effectiveness sustained performance armed forces specific contexts exceptional circumstances focused building enhancing optimizing human capital though psychological principles always used humankind warfare military modern discipline found expression recently first world war remarkably relationship military almost symbiotic two growing tandem benefitting mutually german military pioneer utilizing expertise psychologists war effort using aptitude testing recruitment different occupation first world war utilization psychological expertise britain france remained limited entering first world war united states effectively utilized psychological knowledge recruitment classification training large-scale use gave impetus growth resulted establishment division office surgeon general us army military grew exponentially years second world war psychologists recruited various branches armed forces overseeing personnel selection health care training proficiency measurement leadership american psychological association recognized contributions war effort including division military division formal sub-division psychologists gained formal entry british civil services postwar period world settled uneasy peace cold war military found ever newer avenues ensuring person-job fit remained prime domain clinical intervention human factor engineering leadership propaganda social processes provided military psychologists new research opportunities current era techno-centric warfare military finding applications varied domains optimizing man-machine interface enhanced operational efficiency enhancing cognitive capabilities artificial intelligence supported decision networks improved understanding personality processes also changing nature warfare necessitates nations find alternative ways securing interests beyond war military today stands juncture facing methodological challenges also unprecedented challenges ethical nature,psychology
10.1093/obo/9780199828340-0109,title godfather personality may well ascribed gordon allport first make public efforts promote field personality see allport vernon cited gordon allport personality —located within many argue broadest encompassing branch psychological science—can defined study dynamic organization within individual psychological systems create person characteristic patterns behaviors thoughts feelings see allport also cited gordon allport field personality concerned individual differences—that way people differ one another—and intrapersonal functioning set processes taking place within individual person area personality often grouped social research programs universities however quite different approaches understanding individuals social attempts understand individual interpersonal group contexts ie placed situation people general respond personality investigates individual differences ie people similar different respond situation personality long history extremely large broad field includes large number approaches discerning readers quickly note current chapter largely focused come commonly studied perspective trait approach readers interested approaches referred number resources focusing approaches within diverse field,psychology
10.1093/obo/9780199828340-0257,school psychologists provide important contribution provision counseling services psychological assessment remains foundation area separating school psychologists disciplines counseling services offer school psychological service models important juncture impacting multiplicity psychological familial school problems given diversity counseling services provided within modern schools though school psychologists support professionals often lack critical information role school psychologists play providing wide spectrum counseling services article considers contemporary mental health issues impacting children examines individual group counseling models considers newer research involving family counseling within schools discusses legal challenges,psychology
10.1093/obo/9780199828340-0264,two main inferential statistical camps frequentists bayesians within frequentist camp researchers support null hypothesis significance testing procedure support growing using confidence intervals bayesian camp holds diversity views covered adequately many researchers advocate power analysis determine sample sizes finally priori procedure promising new way think inferential statistics,psychology
10.1093/obo/9780199828340-0272,narrowly defined data sharing practice making scientific research data available researchers however term often used include variety open-science practices including making data methodology eg coding scheme analytic syntax research materials available researchers well reuse resources others multiple avenues data sharing example data repositories either subscription-based free direct request researcher data sharing fairly common practice life earth sciences excepting handful longitudinal projects lacks robust historical precedent sharing data fact not-so-distant past institutional review boards typically required data destroyed preset period order protect participants privacy—and still many researchers still take first step—modifying informed consent procedures include explicit consent share although still frequent data sharing becoming common part trend driven requirements set publications funding agencies publications data sharing intrinsic transparency replication study findings funders data sharing ensures greater return investment—that expensive time-consuming primary data collection wind sitting dusty shelf rather reused secondary data analysis answer new questions fields technological improvements storage capacity computing power also facilitated data sharing reuse many psychologists still concerned data sharing result scooped found error increasing recognition benefits data sharing first data repositories ensure data archived burden preservation fall researcher researcher institution sharing also increases pace scientific progress researchers build work example researchers learn experts approached measurement coding given outcome replication studies inconsistent findings point contextual variations construct study rather researcher error field null findings often difficult publish sharing allows data included meta-analyses across studies examine broader impacts importantly data sharing enhances transparency key ingredient scientific process,psychology
10.1093/obo/9780199828340-0311,correspondence analysis ca statistical method multivariate analysis applies rectangular table categorical data wide range applications social sciences well ecology archaeology linguistics bibliography focuses primarily development applications field often difficult grasp interrelationships observed variables generally categorical scales method several historical origins equivalent definitions one earliest due eminent british statistician ronald fisher defines method way quantifying categories two categorical variables assigning scale values categories objective maximizing discriminatory power equivalent maximizing correlation idea generalized quantifying two categorical variables psychologist louis guttman idea formed basis two research schools led chikio hayashi japan jan de leeuw netherlands french linguist mathematician jean-paul benzécri realized geometric interpretation ca developed method tool visualizing categorical data popular application today simple ca visualizes rows columns two-way table points spatial map association row column categories directly interpreted table cross-tabulation called contingency table ca thus goes beyond typical measurement test row–column association eg chi-square test explicitly showing main features association generalization method called multiple correspondence analysis mca analyzes two categorical variables simultaneously routinely used understand patterns response questionnaire surveys involve many questions categorical responses forms ca variants principal component analysis pca two important generalizations regular way pca defined used distance function used measure differences categories called chi-square distance ii weighting categories proportional marginal sums ca developed similar way pca example introducing linear restrictions called canonical correspondence analysis cca similarly redundancy analysis rda pca categorical pca catpca also special restricted case mca,psychology
