doi,abstract,label
10.1093/obo/9780199756384-0034,medic sociolog sometim refer health sociolog studi social caus consequ health ill major area investig includ social determin health diseas social behavior patient health care provid social function health organ institut social pattern util health servic relationship health care deliveri system social institut social polici toward health make medic sociolog import critic role social factor play determin influenc health individu group larger societi social condit situat promot case caus possibl ill disabl also enhanc prospect diseas prevent health mainten earliest work medic sociolog carri physician unit state sociologist tend ignor field chang late larg amount feder fund becam avail support joint research project sociologist medic doctor incept work medic sociolog orient toward find solut relev clinic medicin howev talcott parson lead theorist sociolog time introduc concept sick role subsequ attract theoret work import role emerg medic sociolog academ field medic sociolog evolv point today investig health medic problem independ sociolog perspect medic sociologist compris one largest activ group sociolog work north america europ field expand region well one everi ten american sociologist medic sociologist,sociology
10.1093/obo/9780199756384-0263,sociolog tourism studi tourist relationship role motiv ongo exchang among tourist institut host commun tourism treat isol sinc embodi tourism practic system oper thu tourism complex sociocultur econom polit phenomenon touch level societi investig tourism role societi tourism system effect natur tourism space object practic relationship tourist typolog demand systemat sociolog investig research need consid whole macro system member social polit cultur econom interact social context human nonhuman actor continu shape reshap tourism system tourism system reshap actor valu attitud behavior research examin sociolog tourism depart sever theoret perspect blend theori method focus sociolog concept understand explain differ aspect tourism group scholar work within sever core sociolog e g educ famili economi develop religion gender languag migrat social inequ labor art margin emerg interdisciplinari format includ cross mani disciplin geographi anthropolog econom polit scienc psycholog market commun women studi histori cultur studi sociolog tourism studi engend transdisciplinari convers academia practic result studi creat pragmat chang tourism practic habit govern,sociology
10.1093/obo/9780199756384-0187,cognit sociolog studi condit mean constitut process reific cognit sociolog trace origin write sociolog knowledg sociolog cultur cognit cultur anthropolog recent work done cultur sociolog cognit scienc central question revolv around locat process reific sinc locu cognit highli contenti research consid individu relat notion societi structur institut system etc notion cultur cultur form cultur structur sub-cultur etc question explor answer depend learn process social accultur etc vari accord posit one take role languag cognit posit operation theori human natur construct justif organ state human affair relat conceptu ident self subject way cognit sociolog seek establish minim model actor ontolog underpin subfield sociolog also human scienc gener way cognit sociolog analyz seri interperson process set condit phenomena becom social object subsequ shape think thought classic cognit sociolog histor tradit sociolog knowledg phenomenolog emphas work bourdieu goffman given special treatment given contribut precursor mani contemporari conting consequ debat cultur cognit principl organ contemporari literatur paradigmat assumpt concern locu cognit organ five ideal-typ elucid point agreement disagr field address themat concern e g knowledg ration embodi practic discours etc highlight prioriti individu model societi illustr make cognit sociolog interdisciplinari yet contenti distinct address polit tacit knowledg,sociology
10.1093/obo/9780199756384-0221,articl curat scholarship around understand identifi knowledg investig product legitim institut experi embodi emphas conceptu exclud canon knowledg knowledg cultur sociolog kc recogn import mannheimian tradit extens explain social relat shape articul valid knowledg howev kc also situat knowledg within system beyond produc consum kc view knowledg necessarili contest struggl qualiti reflect social locat articul social practic make knowledg subject inquiri kc work understand knowledg symbol schema institut network shape term social reproduct transform kc demand consider differ kind knowledg cultur product mode commun kc thu necessarili ground question constitut knowledg interest expect kc intervent focus st-centuri work decis aim engag scholarship extend challeng th-centuri canon includ work th centuri signal scholarship yearn expans articl comprehens mark knowledg valu ignor focu centuri move beyond sociolog allow engag way know sociolog histor minorit move consider structur process valid kind knowledg other kc canon work toward liber knowledg activ mobil knowledg consequenti public way alongsid familiar scholarli ambit kc move scholarship beyond familiar network self-reproduc knowledg hierarchi ground race gender sexual religion world region seek move dialogu beyond knowledg silo identifi new ignor idea mean refer author constitut knowledg consequ refram contest along way exampl instead ask excel divers combin knowledg product kc ask anti-racist knowledg excel account epistemolog ought foreground context power relat knowledg sensibl form commun thu refer articl move gener concept context likewis section move toward global post-socialist postcoloni discuss inform ontolog epistemolog organ scholarli work public consequ begin might identifi entri least greatest hit kc,sociology
10.1093/obo/9780199756384-0015,econom sociolog studi relationship societi market field incorpor insight econom behavior psycholog econom anthropolog cultur anthropolog structur cultur approach larg character studi conduct field former associ network institut social organ latter ritual symbol cognit framework narr econom sociologist studi social network relationship affect econom action provis loan acquisit job success construct deal empir studi examin price set price scheme seem ration instead understand predict market incorpor social life vice versa,sociology
10.1093/obo/9780199756384-0154,rural sociolog uniqu area sociolog inquiri institut develop leav perhap independ sociolog subfield rural sociolog unit state emerg earli th centuri feder fund earmark land grant univers public univers studi assist farm popul separ rural sociolog depart appear gradual within colleg agricultur parallel substant area found gener sociolog depart thu one find rural sociolog replic mani core area gener sociolog rural twist—inequ demographi work labor market race ethnic gender commun forth time addit rural-ori specialti area emerg notabl sociolog agricultur natur resourc environment sociolog rural sociolog also expand global consequ substant scope contemporari research larg vari knit work togeth focu geograph peripheri place popul form social activ found rural area global provid boundari mean field addit broad substant scope rural sociolog character distinct research approach research tend compar rural place popul often set contrast regard urban counterpart ascertain similar differ way rural sociolog research often said challeng urban bia gener sociolog disciplinari practic also distinct depart rural sociolog name today cours special field found across mani land grant univers long tradit cross-disciplinari linkag particularli agricultur econom environment scienc recent geographi rural sociologist highli activ feder state local public polici circl public sociolog effort contribut commun develop sustain agricultur food system social environment justic term work profess rural sociologist also work outsid colleg agricultur within govern agenc intern develop agenc across government non-government institut although rural popul continu declin global reason think rural sociolog broad influenc futur research area encompass grow interest social scientist policymak public larg issu address rural sociologist pertain sustain food system climat environment chang rural poverti among press public concern today,sociology
10.1093/obo/9780199756384-0009,compar histor sociolog branch sociolog analyz society-wid transform social revolut rise capit nation-st democrat birth transform welfar state end th centuri sociolog european founder turn histor explan understand chang capit brought societi marx attempt explain histori work class struggl weber investig compar develop economi societi durkheim investig histor develop religion law divis labor earli histor argument eclips howev behavior revolut explos statist tool techniqu mid-th centuri re-found disciplin studi larg number individu actor unit revolut social chang becam increasingli press polit concern larg number scholar turn compar histor sociolog form sociolog explan appropri analyz chang occur infrequ long period affect societi whole unit classic disciplin focu european histori contemporari scholar extend approach rest world current area great interest includ question china experi industri revolut th centuri role state econom develop transit capit eastern europ think studi rare event requir differ method common rest sociolog accordingli live methodolog discuss underway field great interest state sourc much social transform subfield overlap consider macro polit sociolog compar histor scholar also interest process social econom chang beyond realm polit,sociology
10.1093/obo/9780199756384-0198,music central cultur life therefor also often perceiv central social life studi music societi interest canon social thinker includ weber simmel adorno sinc establish sociolog studi music also concern scholar adjac disciplin particularli musicolog cultur studi econom landmark distinct bourdieu argu noth clearli affirm one class noth infal classifi tast music distinct social critiqu judgement tast london routledg p sociologist music accordingli concern import music tast signifi statu distinguish cultur hierarchi sociologist also concern socio-demograph correl music prefer musician music industri organ provid music influenc tast educ work condit musician tend distinguish sociolog music disciplin commit sociolog imagin use social research methods—but necessarili mani sociologist music work across disciplin sociologist also coalesc around studi differ genr contribut sociolog particular genr often sociologist music folklor histori scholar whose interest extend sociolog music american sociolog music tradit arguabl influenc heavili symbol interaction ration choic theori european critic theori influenti nevertheless conceptu methodolog interchang grow particularli increas influenc bourdieu us sociolog sociolog race gender sexual also influenc field significantli conceptu methodolog divers mean field low paradigmat howev divers lead product exchang synthesi idea method notabl grow interest music social technolog insight scienc technolog studi cultur sociolog broadli attent turn music music mediat social interact artist work embed wider socio-mus system use comput tool particularli network analysi data prolifer gener innov quantit work qualit research also reinvigor new technolog enabl new interview method digit ethnographi comput method process textual data,sociology
10.1093/obo/9780199756384-0055,cultur symbolic-express dimens social life common usag term cultur mean cultiv associ civil habit mind creativ product associ art entir way life associ group among sociologist cultur often refer belief peopl hold realiti norm guid behavior valu orient moral commit symbol belief norm valu commun sociolog studi cultur encompass divers mean cultur amid divers unifi sociolog cultur two core commit symbolic-express dimens social life worthi examin sake impact aspect social life cultur studi use method analyt tool sociolog within disciplin sociolog cultur emerg bound subfield prior period sociolog analys cultur found mainli theoret treatis empir studi religion art sociolog knowledg throughout sociolog studi cultur orient common set broad question social origin cultur cultur pattern found variou group institut influenc cultur import aspect societi scholarship sociolog cultur rang highli gener conceptu argument close observ empir studi read includ reflect breadth,sociology
10.1093/obo/9780199756384-0161,sociolog war subfield sociolog focus macro-level pattern war make societi engag warfar mean war societi relationship state structur war make relat subfield militari sociolog focus explicitli organ function militari forc civil- militari relat line scholarship bound togeth basic premis understand war necessit understand fight vice versa sociolog war overlap field share interest govern polit militari histori polit sociolog polit scienc intern relat howev field tend concern primarili war begin end wherea sociolog war tend focu explicitli cultur social implic war war societi act react upon notabl except sociolog war remain mostli isol within field compar histor sociolog two trend open door interdisciplinari sociolog war first dissip war taboo widespread american academia connect social resist vietnam war throughout renew interest social implic war also occur end cold war rais new question role state war make futur warfar renew interdisciplinari interest origin modern nation-st led reexamin role warfar play emerg spread state system decad terrorist attack septemb sociolog war focus extens question relat role nonstat combat group appar increas asymmetr war post cold war era mean transform war make may carri societi wage global war terror near end second decad scholar increasingli turn attent understand interact state societi line peacetim wartim becom less distinguish recent sociolog war exhibit broaden scope greater emphasi examin war situat within larger pattern social violenc,sociology
